genre,duration,zero_crossing_rate,rms,chromagram,spectral_centroid,spectral_rolloff,spectral_bandwidth,tempo,beats_avg,onset_strength_mean,spectral_contrast,spectral_flatness,mfcc_1,mfcc_delta_1,mfcc_delta2_1,mfcc_2,mfcc_delta_2,mfcc_delta2_2,mfcc_3,mfcc_delta_3,mfcc_delta2_3,mfcc_4,mfcc_delta_4,mfcc_delta2_4,mfcc_5,mfcc_delta_5,mfcc_delta2_5,mfcc_6,mfcc_delta_6,mfcc_delta2_6,mfcc_7,mfcc_delta_7,mfcc_delta2_7,mfcc_8,mfcc_delta_8,mfcc_delta2_8,mfcc_9,mfcc_delta_9,mfcc_delta2_9,mfcc_10,mfcc_delta_10,mfcc_delta2_10,mfcc_11,mfcc_delta_11,mfcc_delta2_11,mfcc_12,mfcc_delta_12,mfcc_delta2_12,mfcc_13,mfcc_delta_13,mfcc_delta2_13
blues,30.013333333333332,0.09782391966357308,0.110940404,"[[0.5320618  0.4225055  0.27116325 ... 0.73885524 0.7586092  0.6899309 ]
 [0.67553    0.5866555  0.49417755 ... 0.4838316  0.5590981  0.6429155 ]
 [0.9472634  0.67172796 0.46478713 ... 0.16079962 0.19594938 0.28845027]
 ...
 [0.59684676 0.21542852 0.17623778 ... 0.9121642  0.9057476  0.9381158 ]
 [0.49529982 0.23786826 0.10874125 ... 1.         1.         1.        ]
 [0.6123243  0.3970516  0.20018855 ... 0.77706623 0.7705643  0.7349934 ]]",2301.5769168965494,5187.511838837732,2367.5022763134975,89.10290948275862,637.5714285714286,1.208952,23.41613689668428,0.0038929202,-159.58041,-0.03740066,0.026886001,69.80602,0.0155849,0.008688521,-4.4021044,-0.012807187,-0.009213219,76.845116,-0.006731929,-0.012027213,3.9149008,0.0030254135,-0.0026617448,45.175884,0.008356068,-0.001254588,-4.860271,0.012159477,-0.00065319095,32.20158,-0.0039722472,-0.007873214,-9.805073,-0.006642248,-0.002781309,7.8093567,-0.008407758,0.0036330034,-21.826736,0.0011623041,-0.0016810541,9.695747,0.0082539255,0.004109476,-2.5847583,0.01694236,0.001962021
blues,30.013333333333332,0.11714180624033256,0.10622777,"[[0.0668533  0.05225632 0.06987246 ... 0.21497633 0.14903517 0.57195663]
 [0.06153078 0.03355025 0.02628477 ... 0.36954805 0.08014549 0.07448736]
 [0.08564786 0.03506333 0.02277805 ... 0.5552388  0.10111418 0.06166643]
 ...
 [0.5288338  0.31673416 0.15469678 ... 0.5150032  0.2665916  0.16933087]
 [0.10385684 0.058362   0.02825666 ... 0.49222586 0.23584987 0.10725699]
 [0.06319191 0.02767474 0.02013521 ... 0.30625248 0.2240469  0.42041647]]",2280.154186884487,4732.98305856656,2119.794149811145,112.34714673913044,684.3518518518518,1.4642825,23.60464318830626,0.003174063,-144.92342,0.06898009,0.09141971,95.732994,0.0377473,-0.02314745,-21.616442,0.025934607,-0.005635999,49.62627,0.0037105484,0.008082703,-29.88752,0.025064252,-0.008681114,29.351145,-0.013771017,0.007504692,-18.850819,0.033570766,-0.00011397662,17.902308,0.020685634,-0.0006822338,-9.670822,0.0044299387,0.006543013,5.5167217,0.00438025,0.008229832,-9.557408,-0.0044957306,-0.00472512,6.359987,-0.002922764,-0.0045559397,-21.088718,0.0054372963,-0.0020914269
blues,30.013333333333332,0.03231153023491879,0.063039556,"[[3.5101873e-01 1.9009027e-01 1.6066214e-01 ... 5.9911318e-02
  3.1958707e-02 6.5126754e-02]
 [1.0000000e+00 1.0000000e+00 1.0000000e+00 ... 2.5711411e-01
  1.2531777e-01 1.4269204e-01]
 [7.5408584e-01 5.8546644e-01 5.4785514e-01 ... 4.4236127e-01
  3.8882577e-01 4.3607739e-01]
 ...
 [1.6858988e-02 1.5734374e-03 6.9373136e-04 ... 1.0000000e+00
  1.0000000e+00 1.0000000e+00]
 [2.8109809e-02 3.4264526e-03 7.2232808e-04 ... 5.2089292e-01
  6.3293409e-01 7.5755972e-01]
 [6.6290647e-02 9.4969012e-03 2.9736182e-03 ... 6.9387577e-02
  4.4935264e-02 7.0951499e-02]]",918.6809999781156,1602.5332846940255,1437.035104376428,83.35433467741936,663.8974358974359,1.1769973,20.940630957199406,0.0011287942,-332.22464,0.08644779,0.07999275,128.08928,0.013686874,0.011681857,28.805153,-0.03303162,-0.011790759,41.830193,0.005023459,-0.014144256,31.214476,0.010530106,-0.028402219,23.334787,-0.0067557315,-0.006818774,5.7841134,-0.0091354465,0.0015930241,9.001364,0.00417964,0.0040677404,-3.8817163,-0.024191018,-0.014678498,3.731323,0.012725875,-0.00061483006,-0.8742288,0.0053437822,0.006094056,-0.43919024,-0.0044307327,0.010939008,1.4851285,0.02217019,-0.0010164293
blues,30.013333333333332,0.05197268646075019,0.07705383,"[[9.3996006e-01 6.9376379e-01 5.9542847e-01 ... 2.8024057e-02
  3.9024290e-02 4.2670324e-02]
 [6.6198605e-01 3.1801140e-01 2.4194659e-01 ... 4.5201016e-04
  8.4921147e-04 9.3208700e-03]
 [3.9749035e-01 6.8762936e-02 4.2772748e-02 ... 2.6581855e-04
  5.5870955e-04 6.5300846e-03]
 ...
 [5.0360399e-01 3.0056077e-01 2.4299377e-01 ... 4.9494274e-02
  4.2274911e-02 1.2848912e-01]
 [7.9056042e-01 7.2063506e-01 6.9478112e-01 ... 1.0000000e+00
  1.0000000e+00 1.0000000e+00]
 [1.0000000e+00 1.0000000e+00 1.0000000e+00 ... 8.3305556e-01
  9.8311704e-01 6.9002354e-01]]",1198.8570176825065,2478.8330644576567,1573.3099533109187,83.35433467741936,612.4102564102565,1.434356,21.951863061544785,0.0004585821,-284.64056,0.11499359,0.06820277,108.8013,0.0029742247,0.017729426,9.085326,-0.032250725,-0.00694169,51.198055,-0.005443632,-0.013252711,18.071896,-0.022863194,-0.015751312,7.6021523,-0.016421089,-0.0071193255,8.755717,-0.031893276,-0.0011271278,2.3540905,-0.016364243,-0.004637871,0.0033669882,-0.010199513,-0.004026485,2.248496,-0.007945822,-0.0015832996,4.199124,-0.0029333688,-0.0022385118,-3.2830627,0.0036943182,0.0052861697,1.617682,0.009878561,0.0010219319
blues,30.013333333333332,0.047907452387857694,0.1010843,"[[0.09662903 0.02262404 0.0145458  ... 0.15120617 0.14956553 0.22968194]
 [0.13626859 0.05629259 0.0357279  ... 0.24615224 0.32801974 0.40235227]
 [0.13962048 0.11237965 0.11225927 ... 0.50209737 0.7492496  0.77318215]
 ...
 [0.69947743 0.45004565 0.37655488 ... 1.         0.74126214 0.6201584 ]
 [0.25432414 0.06323522 0.03571134 ... 0.22859317 0.18822241 0.19629921]
 [0.1112833  0.01874434 0.01389533 ... 0.07971112 0.05835256 0.0991319 ]]",1046.7751266104483,1831.2215641313805,1481.055846648493,99.38401442307692,669.36,1.4756387,22.14452413296216,0.00039825228,-264.67126,0.04011094,0.059193492,138.85434,0.003751296,0.013185122,11.167335,-0.024675988,-0.015026914,48.523926,-0.00076719077,-0.007310309,14.904318,0.007345097,-0.002385443,20.586433,-0.006297963,0.0011218127,3.2061815,0.0032325771,-0.00077549525,1.263575,-0.0010161684,0.0036319196,-15.839371,-0.0031178084,0.0018804837,15.975111,-0.0011373123,-0.0036020102,3.3582213,-0.0018289965,-0.003455407,-1.5066438,0.003427709,-0.0019211784,1.896923,0.014606902,0.0009499673
blues,30.013333333333332,0.05819685626933488,0.13184513,"[[0.34290263 0.14473437 0.09209551 ... 0.09945013 0.10366375 0.2404213 ]
 [0.38435584 0.27350488 0.19540672 ... 0.05117905 0.07013917 0.11502302]
 [0.5381796  0.55780417 0.4052987  ... 0.0368052  0.03880686 0.03104081]
 ...
 [0.7834631  0.8820727  1.         ... 1.         1.         1.        ]
 [0.5843339  0.6213351  0.8647651  ... 0.80281895 0.8229364  0.91574454]
 [0.34648913 0.1455939  0.18171504 ... 0.48535156 0.5118632  0.63863814]]",1612.6456368857407,3468.7358953560033,1971.6995942121744,143.5546875,680.9538461538461,1.519699,22.55449310882282,0.002966383,-177.56758,0.020632125,-0.06443479,115.369,-0.017972903,0.013728825,9.97059,-0.021692522,0.020151675,54.043873,0.014949545,-0.015416801,7.6243157,0.004827302,-0.00580613,28.312319,-0.0042369743,-0.002794572,-9.054926,-0.004441554,0.007875228,20.049507,0.0017899065,-0.008590991,-15.044513,-0.019879328,0.006775261,6.2095714,-0.002438043,-0.00807583,-5.692565,0.0029100885,0.003638361,1.3833497,0.005887429,0.0017905047,-5.828813,0.014398939,-0.005769166
blues,30.013333333333332,0.07476858565351895,0.1049854,"[[0.08352931 0.06713181 0.11119944 ... 0.50998574 0.57060236 0.48290324]
 [0.38481086 0.3161856  0.32425767 ... 0.33796394 0.33036563 0.28992692]
 [1.         1.         0.66861683 ... 0.34984052 0.2853046  0.26439643]
 ...
 [0.5983527  0.43293077 0.36990368 ... 0.11975269 0.17078952 0.24866901]
 [0.45814517 0.790243   1.         ... 0.39538446 0.44664612 0.41830868]
 [0.1426521  0.34262687 0.5883817  ... 0.40552607 0.45487088 0.40062714]]",1538.5123663814202,3174.357190762761,1703.4818100127711,92.28515625,580.3658536585366,1.1246185,20.396184998338796,0.0022788965,-177.2555,0.00074330246,-0.0043945652,136.23473,0.02792185,0.0028358954,-26.893284,-0.012259782,0.005696332,36.368965,-0.018408611,0.006297389,-18.752974,0.0018216168,-0.0033020733,20.897598,5.8928665e-05,-0.009096461,-1.7674705,0.0033091297,0.00060942554,3.0104659,-0.02087301,0.0014521139,-5.596904,0.004317228,-0.0010254993,5.641343,0.012842472,-0.0020980826,-8.101523,0.012030499,0.00080867525,5.656479,0.01997056,0.0006932543,-10.778816,0.0134513425,0.005880391
blues,30.013333333333332,0.11336735063805105,0.23508118,"[[0.5693308  0.40642887 0.2557104  ... 0.07695703 0.08666293 0.11803652]
 [0.39527717 0.30181602 0.16922407 ... 0.19055755 0.21676475 0.31558633]
 [0.36073548 0.355466   0.2032425  ... 0.04967318 0.05472267 0.05445093]
 ...
 [0.45529282 0.318042   0.17143516 ... 1.         1.         1.        ]
 [0.7649109  0.625214   0.28682345 ... 0.27141404 0.27717334 0.34462956]
 [0.6394656  0.45562208 0.24581069 ... 0.06195598 0.0613526  0.06963373]]",2060.8418796735323,4220.299641549449,2084.916613093866,112.34714673913044,664.1272727272727,1.4634149,21.785367615619382,0.0072958083,-39.007618,0.0019431531,-0.06685789,112.05693,0.006443233,-0.00198028,-31.819195,-0.005144396,0.014637961,38.235607,-0.0041723894,-0.005701268,-6.320211,-0.01007288,0.009845724,23.32046,-0.011273097,0.0050647585,-18.772533,-0.002831128,0.011984354,23.931019,-0.006629302,-0.004800689,-10.932699,-0.012587222,0.005784129,13.236961,-0.010529353,0.0017625601,-14.371818,-0.00048381675,0.0078004887,13.327064,0.005029689,-0.0046920404,-10.916337,0.00010851199,0.0029785584
blues,30.013333333333332,0.09403926793310131,0.24235758,"[[0.6028529  0.4970007  0.7407823  ... 0.6293957  0.448183   1.        ]
 [0.5768318  0.47628242 0.6019704  ... 0.5096229  0.3840908  0.69907665]
 [0.61786073 0.6349173  0.8957423  ... 0.39446267 0.27625364 0.46249422]
 ...
 [0.26228377 0.261996   0.7848971  ... 0.5649089  0.234393   0.55576414]
 [0.56632054 0.47976327 0.6479635  ... 0.15364738 0.08505683 0.20822097]
 [0.55763894 0.3684521  0.54332125 ... 0.18156755 0.13056155 0.28803593]]",1827.2572927983213,3743.613145301624,1898.4619176162178,117.45383522727273,605.8888888888889,1.4843853,22.626015908359214,0.0039402475,-54.70627,0.09909328,0.020095885,119.48301,0.0019131341,0.0073557883,-34.87408,-0.031953003,-0.0032796722,37.540634,0.0038217152,-0.019617751,-15.880536,0.014728803,-0.0004933072,22.081291,0.0018767588,-0.005678783,-14.661809,-0.00772017,0.005439846,18.532047,-0.011299867,-0.002987151,-9.647198,-0.012701128,-0.005984924,11.256581,-0.010002996,-0.006827918,-11.729358,-0.0041162167,0.0049711913,11.540745,0.005224133,0.0047719656,-6.4318557,0.004929354,0.0027430595
blues,30.013333333333332,0.02169698315448569,0.06586,"[[0.56082094 0.27392414 0.26868108 ... 0.10808484 0.10851926 0.15155767]
 [0.611795   0.32532614 0.28682408 ... 0.03465771 0.04683559 0.12048293]
 [0.84073406 0.54693633 0.50550264 ... 0.02085091 0.03387029 0.11488753]
 ...
 [0.13812394 0.12553126 0.37137333 ... 0.11020089 0.16682261 0.29087815]
 [0.23549148 0.11838995 0.46434885 ... 0.11057565 0.1295407  0.13921273]
 [0.444691   0.2724875  0.4735736  ... 0.12708662 0.13921665 0.15041669]]",570.3499042411772,929.3001037739269,995.5058534728203,58.72691761363637,604.0769230769231,0.81345505,21.40320226444322,0.0004570061,-350.35263,0.018693209,0.043650106,169.53174,0.01783077,-0.00059166475,31.771364,-0.010960135,-0.014828352,16.718435,-0.016300231,0.0005237848,28.658941,-0.0028401306,-0.0143738575,19.246181,-0.012593612,-0.0012787133,7.845078,-0.0077036587,-0.0005394361,10.037884,0.0011125776,0.0007871051,4.740647,0.0010850505,-0.00079568115,2.9217062,0.0014147648,8.125372e-05,3.9002297,-0.0058589517,-0.0004670185,1.812954,-0.002143854,0.0022939076,-5.969145,0.0010935307,0.0037027642
