,precision,recall,f1-score,support
blues,1.0,0.3,0.46153846153846156,10.0
classical,0.6,0.9,0.72,10.0
country,0.35,0.7,0.4666666666666667,10.0
disco,0.8,0.4,0.5333333333333333,10.0
hiphop,1.0,0.5,0.6666666666666666,10.0
jazz,0.6666666666666666,0.6,0.631578947368421,10.0
metal,0.7142857142857143,1.0,0.8333333333333334,10.0
pop,0.6666666666666666,0.8,0.7272727272727273,10.0
reggae,0.5,0.5,0.5,10.0
rock,0.5714285714285714,0.4,0.47058823529411764,10.0
accuracy,0.61,0.61,0.61,0.61
macro avg,0.6869047619047619,0.6100000000000001,0.6010978371473727,100.0
weighted avg,0.6869047619047619,0.61,0.6010978371473727,100.0
