,precision,recall,f1-score,support
blues,0.5454545454545454,0.6,0.5714285714285714,10.0
classical,0.6666666666666666,1.0,0.8,10.0
country,0.4444444444444444,0.4,0.42105263157894735,10.0
disco,0.5714285714285714,0.8,0.6666666666666666,10.0
hiphop,0.8888888888888888,0.8,0.8421052631578947,10.0
jazz,0.9,0.9,0.9,10.0
metal,0.7692307692307693,1.0,0.8695652173913043,10.0
pop,0.7142857142857143,0.5,0.5882352941176471,10.0
reggae,0.8571428571428571,0.6,0.7058823529411765,10.0
rock,0.2,0.1,0.13333333333333333,10.0
accuracy,0.67,0.67,0.67,0.67
macro avg,0.6557542457542457,0.6699999999999999,0.6498269330615541,100.0
weighted avg,0.6557542457542458,0.67,0.6498269330615541,100.0
