,precision,recall,f1-score,support
blues,0.8571428571428571,0.6,0.7058823529411765,10.0
classical,0.8333333333333334,1.0,0.9090909090909091,10.0
country,0.5294117647058824,0.9,0.6666666666666666,10.0
disco,0.9,0.9,0.9,10.0
hiphop,1.0,0.7,0.8235294117647058,10.0
jazz,1.0,0.9,0.9473684210526315,10.0
metal,0.8181818181818182,0.9,0.8571428571428571,10.0
pop,0.6363636363636364,0.7,0.6666666666666666,10.0
reggae,0.8,0.8,0.8,10.0
rock,0.6666666666666666,0.4,0.5,10.0
accuracy,0.78,0.78,0.78,0.78
macro avg,0.8041100076394194,0.78,0.7776347285325613,100.0
weighted avg,0.8041100076394194,0.78,0.7776347285325613,100.0
