,precision,recall,f1-score,support
blues,0.7142857142857143,0.5,0.5882352941176471,10.0
classical,0.7142857142857143,1.0,0.8333333333333334,10.0
country,1.0,0.6,0.75,10.0
disco,0.3076923076923077,0.4,0.34782608695652173,10.0
hiphop,0.4117647058823529,0.7,0.5185185185185185,10.0
jazz,0.8,0.4,0.5333333333333333,10.0
metal,0.75,0.9,0.8181818181818182,10.0
pop,0.5,1.0,0.6666666666666666,10.0
reggae,0.6666666666666666,0.4,0.5,10.0
rock,0.0,0.0,0.0,10.0
accuracy,0.59,0.59,0.59,0.59
macro avg,0.5864695108812756,0.5900000000000001,0.5556095051107839,100.0
weighted avg,0.5864695108812756,0.59,0.5556095051107839,100.0
