,precision,recall,f1-score,support
blues,0.1111111111111111,0.1,0.10526315789473684,10.0
classical,0.4,0.8,0.5333333333333333,10.0
country,0.0,0.0,0.0,10.0
disco,0.1111111111111111,0.1,0.10526315789473684,10.0
hiphop,0.0,0.0,0.0,10.0
jazz,0.0,0.0,0.0,10.0
metal,0.42857142857142855,0.9,0.5806451612903226,10.0
pop,0.375,0.9,0.5294117647058824,10.0
reggae,0.5555555555555556,0.5,0.5263157894736842,10.0
rock,0.0,0.0,0.0,10.0
accuracy,0.33,0.33,0.33,0.33
macro avg,0.19813492063492064,0.32999999999999996,0.2380232364592696,100.0
weighted avg,0.19813492063492064,0.33,0.23802323645926962,100.0
